,shot_x,shot_y,dut,r,c,cap,D,x,y,Voltage,Current
195,1,-2,POC22_Main_508_88F,1,1,+1.24433E-10,+2.18055E-02,195,287,99.99996690092212,1.027484936638017e-11
196,1,-2,POC22_Main_762_77,1,1,+2.22169E-10,+4.18689E-02,195,277,100.00000398366488,1.3517100338803895e-09
197,1,-2,POC22_Main_762_99F,1,1,+3.57926E-10,+4.73034E-02,195,271,99.99994835955076,2.803848413925824e-08
198,1,-3,POC22_Main_381_77F,1,1,+5.29877E-11,+1.38875E-02,195,315,99.9999947129792,8.206087748992231e-12
199,1,-3,POC22_Main_508_44,1,1,+3.53145E-11,+1.08639E-02,195,335,99.99997617160784,-1.4481331321735425e-12
200,1,-3,POC22_Main_508_47,1,1,+5.67124E-11,+1.05061E-02,195,341,100.00002252503624,9.340772151263724e-13
201,1,-3,POC22_Main_508_88F,1,1,+1.22636E-10,+2.47945E-02,195,323,100.00000398366488,1.572885726678039e-11
202,1,-3,POC22_Main_762_77,1,1,+2.19689E-10,+2.20856E-02,195,313,99.9999947129792,3.4058712094336465e-10
203,1,-3,POC22_Main_762_99F,1,1,+3.55053E-10,+5.13399E-02,195,307,100.00002252503624,5.3419750553544115e-09
204,1,0,POC22_Main_381_77F,1,1,+2.59229E-11,+2.02758E+01,195,207,0.6200426605525988,9.999986112436163e-07
205,1,0,POC22_Main_508_44,1,1,+3.57250E-11,+8.45500E-03,195,227,100.00000398366488,1.6418444472577473e-11
206,1,0,POC22_Main_508_47,1,1,+5.76330E-11,+1.11303E-02,195,233,100.00002252503624,9.52257241460334e-12
207,1,0,POC22_Main_508_88F,1,1,+1.24666E-10,+2.40411E-02,195,215,100.00002252503624,1.1327410201413064e-10
208,1,0,POC22_Main_762_77,1,1,+2.21750E-10,+3.42731E-02,195,205,99.99993908886506,6.113247000165882e-09
209,1,0,POC22_Main_762_99F,1,1,+3.58591E-10,+6.35636E-02,195,199,99.9999947129792,7.199716091900718e-08
210,1,1,POC22_Main_381_77F,1,1,+5.37075E-11,+1.25484E-02,195,171,99.99997617160784,1.937113150832122e-12
211,1,1,POC22_Main_508_44,1,1,+3.55306E-11,+1.01946E-02,195,191,100.00001325435056,1.3283957173500728e-11
212,1,1,POC22_Main_508_47,1,1,+5.74555E-11,+1.26022E-02,195,197,100.00003179572194,-4.450971964677928e-13
